game_id,home_team,away_team,home_score,away_score,true_percentage
2019_09_NYJ_MIA,MIA,NYJ,26,18,69
2019_09_SF_ARI,ARI,SF,25,28,89
2019_09_TB_SEA,SEA,TB,40,34,85
2019_09_TEN_CAR,CAR,TEN,30,20,67
2019_09_WAS_BUF,BUF,WAS,24,9,38
2019_10_ARI_TB,TB,ARI,30,27,90
2019_10_ATL_NO,NO,ATL,9,26,35
2019_10_BAL_CIN,CIN,BAL,13,49,27
2019_10_BUF_CLE,CLE,BUF,19,16,84
2019_10_CAR_GB,GB,CAR,24,16,67
2019_10_DET_CHI,CHI,DET,20,13,65
2019_10_KC_TEN,TEN,KC,35,32,91
2019_10_LA_PIT,PIT,LA,17,12,71
2019_10_LAC_OAK,OAK,LAC,26,24,92
2019_10_MIA_IND,IND,MIA,12,16,75
2019_10_MIN_DAL,DAL,MIN,24,28,86
2019_10_NYG_NYJ,NYJ,NYG,34,27,79
2019_10_SEA_SF,SF,SEA,24,27,89
2019_11_ARI_SF,SF,ARI,36,26,72
2019_11_ATL_CAR,CAR,ATL,3,29,10
2019_11_BUF_MIA,MIA,BUF,20,37,54
2019_11_CHI_LA,LA,CHI,17,7,41
2019_11_CIN_OAK,OAK,CIN,17,10,59
2019_11_DAL_DET,DET,DAL,27,35,77
2019_11_DEN_MIN,MIN,DEN,27,23,85
2019_11_HOU_BAL,BAL,HOU,41,7,17
2019_11_JAX_IND,IND,JAX,33,13,39
2019_11_KC_LAC,LAC,KC,17,24,71
2019_11_NE_PHI,PHI,NE,10,17,59
2019_11_NO_TB,TB,NO,17,34,50
2019_11_NYJ_WAS,WAS,NYJ,17,34,50
2019_11_PIT_CLE,CLE,PIT,21,7,33
2019_12_BAL_LA,LA,BAL,6,45,13
2019_12_CAR_NO,NO,CAR,34,31,91
2019_12_DAL_NE,NE,DAL,13,9,69
2019_12_DEN_BUF,BUF,DEN,20,3,15
2019_12_DET_WAS,WAS,DET,19,16,84
2019_12_GB_SF,SF,GB,37,8,22
2019_12_IND_HOU,HOU,IND,20,17,85
2019_12_JAX_TEN,TEN,JAX,42,20,48
2019_12_MIA_CLE,CLE,MIA,41,24,59
2019_12_NYG_CHI,CHI,NYG,19,14,74
2019_12_OAK_NYJ,NYJ,OAK,34,3,9
2019_12_PIT_CIN,CIN,PIT,10,16,63
